fid;Name;CGM;Lon;Lat
1008;FIGUEREDO Y NATA;BUDGE;-58,4690326;-34,7174642
689;CLAUDIO DE ALAS & CAMINO DE LA RIBERA SUR;BUDGE;-58,468341;-34,713523
679;FIGUEREDO Y MACHADO;BUDGE;-58,4653145;-34,7153344
674;JOSÃ© ESPRONCEDA & AZAMOR;BUDGE;-58,464152;-34,712889
671;BARADERO & RICARDO PALMA;BUDGE;-58,463216;-34,715995
669;BARILOCHE E INTENDENTE PEDRO PABLO TURNER;BUDGE;-58,4629963;-34,7104033
665;AZAMOR & BARILOCHE;BUDGE;-58,461998;-34,711672
662;GUAMINI Y REAÑO;BUDGE;-58,4618691;-34,7079188
657;BARADERO Y SALADILLO;BUDGE;-58,4610636;-34,7147927
653;CAMPOAMOR & INTENDENTE PEDRO PABLO TURNER;BUDGE;-58,459741;-34,708593
642;MONTIEL & CAMPANA;BUDGE;-58,457874;-34,714854
640;BARADERO Y GUAMINI;BUDGE;-58,4578038;-34,7129829
639;FIGUEREDO & CAMPOAMOR;BUDGE;-58,457744;-34,711136
636;PRESIDENTE JUAN DOMINGO PERON Y AZAMOR;BUDGE;-58,4567304;-34,7087351
641;CAMPOAMOR Y CAMPANA;BUDGE;-58,4557556;-34,7136374
625;NECOL Y CAMPOAMOR;BUDGE;-58,4547296;-34,7148526
620;NECOL & COSQUIN;BUDGE;-58,4536615;-34,7142538
615;RECONDO Y COSQUIN;BUDGE;-58,4527149;-34,715522
687;EVARISTO CARRIEGO & FIGUEREDO;BUDGE;-58,467661;-34,716664
1012;BARADERO & COSQUÍN;BUDGE;-58,4556584;-34,7117706
1041;PRESIDENTE JUAN DOMINGO PERÓN & FIGUEREDO;BUDGE;-58,4554848;-34,7098969
632;AYOLAS Y BARILOCHE;BUDGE;-58,456057;-34,7190668
631;RECONDO & MONTIEL;BUDGE;-58,455902;-34,717318
629;SALADILLO & CANADA;BUDGE;-58,455274;-34,722008
628;EJERCITO DE LOS ANDES Y ANTONIO MACHADO;BUDGE;-58,4552288;-34,727855
621;BRAGADO & JOSE ESPRONCEDA;BUDGE;-58,453676;-34,72546
617;BARILOCHE Y CAÃ±UELAS;BUDGE;-58,4531083;-34,7229457
616;QUESADA & GUAMINÃ­;BUDGE;-58,4529;-34,719104
611;ESPRONCEDA & GINEBRA;BUDGE;-58,451908;-34,727685
606;EPECUEN Y GUAMINI;BUDGE;-58,4513328;-34,7211289
599;QUESADA & COSQUIN;BUDGE;-58,450729;-34,717903
596;BRAGADO & GUAMINI;BUDGE;-58,449814;-34,723237
595;CAMPOAMOR & CAÃ‘UELAS;BUDGE;-58,449741;-34,721175
578;BRAGADO Y COSQUIN;BUDGE;-58,4475;-34,7220211
572;GINEBRA & CAMPOAMOR;BUDGE;-58,446939;-34,725101
879;GINEBRA & CLAUDIO DE ALAS;BUDGE;-58,4555696;-34,7296002
682;RECONDO & JUAN M. DE LAVARDEN;BUDGE;-58,465953;-34,722911
675;CLAUDIO DE ALAS Y CAMPANA;BUDGE;-58,4644043;-34,7184372
884;NECOL & CLAUDIO DE ALAS;BUDGE;-58,4633527;-34,7196967
672;CANADÃ¡ Y LAVARDEN;BUDGE;-58,463324;-34,7261955
668;ANDRES BELLO & QUESADA;BUDGE;-58,462831;-34,724647
667;CIPOLLETI Y ANTONIO MACHADO;BUDGE;-58,4627587;-34,7183765
666;RECONDO & CLAUDIO DE ALAS;BUDGE;-58,462398;-34,720924
664;LAVARDEN & CAÃ‘UELAS;BUDGE;-58,461891;-34,727953
885;CIPOLLETI & RICARDO PALMA;BUDGE;-58,4618413;-34,7177242
659;NECOL & RICARDO PALMA;BUDGE;-58,461222;-34,718488
656;CANADA & EVARISTO CARRIEGO;BUDGE;-58,460977;-34,724989
655;CIPOLLETI & JOSE ESPRONCEDA;BUDGE;-58,460748;-34,71715
654;FALUCHO & GINEBRA;BUDGE;-58,460373;-34,732059
650;ANTONIO MACHADO & QUESADA;BUDGE;-58,459382;-34,722721
649;AYOLAS Y RICARDO PALMA;BUDGE;-58,4592995;-34,7208826
648;RECONDO & JOSÃ© ESPRONCEDA;BUDGE;-58,459133;-34,719133
646;ANDRES BELLO & ESCOBAR;BUDGE;-58,458919;-34,729954
643;EVARISTO CARRIEGO & BRAGADO;BUDGE;-58,458527;-34,728115
1038;FALUCHO & AUSTRALIA;BUDGE;-58,4611862;-34,73044
549;ARANA GOIRI & SANTA MONICA;PARQUE BARON;-58,443237;-34,764024
535;EUSKADI & BARTOLOME HIDALGO;PARQUE BARON;-58,441328;-34,76452
533;HOMERO & SANTA MONICA;PARQUE BARON;-58,440958;-34,763397
525;INTENDENTE TAVANO Y PARANA;PARQUE BARON;-58,4401507;-34,761447
520;POTOSÃ­ & FALUCHO;PARQUE BARON;-58,439528;-34,759543
519;OMBU Y FLORENCIO SANCHEZ;PARQUE BARON;-58,4391426;-34,7570989
516;OMBU & MIGUEL DE CERVANTES;PARQUE BARON;-58,438816;-34,755452
513;INTENDENTE TAVANO Y BARTOLOME HIDALGO;PARQUE BARON;-58,4386232;-34,7632615
505;TUNUYÃ¡N & INTENDENTE TAVANO;PARQUE BARON;-58,43806;-34,764003
500;JUAN RAMON GIMENEZ & FABIAN ONSARI;PARQUE BARON;-58,437471;-34,756305
490;ALFONSINA STORNI & JUAN RAMON GIMENEZ;PARQUE BARON;-58,436225;-34,758424
488;MIGUEL DE CERVANTES & JAURETCHE;PARQUE BARON;-58,436149;-34,755838
487;CONSTANCIO C. VIGIL & EDUARDO SCHIAFFINO;PARQUE BARON;-58,436125;-34,762645
475;HORACIO QUIROGA & JUAN RAMON GIMENEZ;PARQUE BARON;-58,434684;-34,760893
472;FLORENCIO SÃ¡NCHEZ & FERNANDO FADER;PARQUE BARON;-58,434335;-34,763698
461;ORTEGA Y GASSET & GUILLERMO HUDSON;PARQUE BARON;-58,433279;-34,757789
456;JACINTO BENAVENTE & RUA ROSSI;PARQUE BARON;-58,432727;-34,761854
447;LOS PALOS BORRACHOS & LOS ROBLES;PARQUE BARON;-58,431658;-34,764902
553;IPARRAGUIRRE & BARTOLOMÃ© HIDALGO;PARQUE BARON;-58,44469;-34,766253
556;TROPEROS Y HOMERO;PARQUE BARON;-58,4453421;-34,7573556
558;OLMOS & EUSKADI;PARQUE BARON;-58,445469;-34,758978
563;TUNUYÃ¡N & BERNARDO O'HIGGINS;PARQUE BARON;-58,44578;-34,768339
