ID;Descripcion;Tipo;Ubicacion;CGM;Lon;Lat
BUD69A;;;Figueredo y Nata l;BUDGE;-58.4691777;-34.7175119
BUD69;;;Figueredo y Natal;BUDGE;-58.4691699;-34.7175048
BUD01;"Tipo: DOMO
Ubicacion: ALENDE GUARDIA";DOMO;ALENDE GUARDIA;BUDGE;-58.4674146;-34.7148021
BUD02;"Tipo: DOMO
Ubicacion: ALENDE GUARDIA";DOMO;ALENDE GUARDIA;BUDGE;-58.467135;-34.71516
BUD03;"Tipo: DOMO
Ubicacion: C. ALAS Y RIBERA";DOMO;C. ALAS Y RIBERA;BUDGE;-58.468401;-34.713572
BUD09;"Tipo: DOMO
Ubicacion: CLAUDIO DE ALAS Y RECONDO";DOMO;CLAUDIO DE ALAS Y RECONDO;BUDGE;-58.462436;-34.720962
BUD13;"Tipo: DOMO
Ubicacion: CIPOLLETO Y CLAUDIO DE ALAS";DOMO;CIPOLLETO Y CLAUDIO DE ALAS;BUDGE;-58.463641;-34.718701
BUD12;"Tipo: DOMO
Ubicacion: QUESADA Y ANDRES BELLO";DOMO;QUESADA Y ANDRES BELLO;BUDGE;-58.4627901;-34.7245341
BUD30;"Tipo: DOMO
Ubicacion: CANADA Y MONTIEL";DOMO;CANADA Y MONTIEL;BUDGE;-58.452973;-34.72098
FIO01;"Tipo: DOMO
Ubicacion: PERON Y RECONDO";DOMO;PERON Y RECONDO;BUDGE;-58.451214;-34.714835
FIO02;"Tipo: DOMO
Ubicacion: GRAN CAIMAN";DOMO;GRAN CAIMAN;BUDGE;-58.455641;-34.709884
FIO04;"Tipo: DOMO
Ubicacion: RECON DO Y MONTIEL";DOMO;RECON DO Y MONTIEL;BUDGE;-58.455913;-34.717382
BUD28;"Tipo: DOMO
Ubicacion: AZAMOR Y CARRIEGO";DOMO;AZAMOR Y CARRIEGO;BUDGE;-58.4687069;-34.7153357
BUD31;"Tipo: DOMO
Ubicacion: RECONDO Y FALUCHO";DOMO;RECONDO Y FALUCHO;BUDGE;-58.467071;-34.723608
FIO05;"Tipo: FIJA
Ubicacion: EJERCITO Y PERON COLECTORA PCIA";FIJA;EJERCITO Y PERON COLECTORA PCIA;BUDGE;-58.445361;-34.7228764
FIO44;"Tipo: DOMO
Ubicacion: EJERCITO Y PERON COLECTORA PROV";DOMO;EJERCITO Y PERON COLECTORA PROV;BUDGE;-58.4453372;-34.7229246
BUD42;"Tipo: FIJA
Ubicacion: PUENTE LA NORIA";FIJA;PUENTE LA NORIA;BUDGE;-58.458965;-34.706583
BUD53;"Tipo: FIJA
Ubicacion: GUAMINI Y LAS VIAS";FIJA;GUAMINI Y LAS VIAS;BUDGE;-58.456307;-34.714823
BUD54;"Tipo: FIJA
Ubicacion: QUESADA 2255";FIJA;QUESADA 2255;BUDGE;-58.458886;-34.72236
BUD52;"Tipo: DOMO
Ubicacion: GINEBRA Y CLAUDIO ALAS";DOMO;GINEBRA Y CLAUDIO ALAS;BUDGE;-58.455619;-34.729588
BUD57;"Tipo: FIJA
Ubicacion: RIBERA SUR Y MONTIEL";FIJA;RIBERA SUR Y MONTIEL;BUDGE;-58.463136;-34.708278
BUD13a;"Tipo: FIJA
Ubicacion: CIPOLLETI 1 Y C. ALAS 1 - J946";FIJA;CIPOLLETI 1 Y C. ALAS 1 - J946;BUDGE;-58.463121;-34.718419
BUD13b;"Tipo: FIJA
Ubicacion: CIPOLLETI 2 Y C. ALAS 1 - J946";FIJA;CIPOLLETI 2 Y C. ALAS 1 - J946;BUDGE;-58.463366;-34.71856
BUD61;"Tipo: FIJA
Ubicacion: PERON Y GINEBRA SEC25";FIJA;PERON Y GINEBRA SEC25;BUDGE;-58.4446677;-34.7237126
BUD53b;"Tipo: FIJA
Ubicacion: GUAMINI Y LAS VIAS";FIJA;GUAMINI Y LAS VIAS;BUDGE;-58.456301;-34.714865
BUD54b;"Tipo: FIJA
Ubicacion: QUESADA 2255";FIJA;QUESADA 2255;BUDGE;-58.45894;-34.722415
BUD57b;"Tipo: FIJA
Ubicacion: RIBERA SUR Y MONTIEL";FIJA;RIBERA SUR Y MONTIEL;BUDGE;-58.46318;-34.70833
FIO01b;"Tipo: FIJA
Ubicacion: PERON Y RECONDO";FIJA;PERON Y RECONDO;BUDGE;-58.451229;-34.714843
FIO01c;"Tipo: FIJA
Ubicacion: PERON Y RECONDO";FIJA;PERON Y RECONDO;BUDGE;-58.451198;-34.71483
FIO01d;"Tipo: FIJA
Ubicacion: PERON Y RECONDO";FIJA;PERON Y RECONDO;BUDGE;-58.451205;-34.71485
BUD83;;;CARRIEGO Y ESCOBAR;BUDGE;-58.4576117;-34.7292865
LMC08;"Tipo: DOMO
Ubicacion: COLOMBRES Y CAMINO NEGRO";DOMO;COLOMBRES Y CAMINO NEGRO;PARQUE BARON;-58.431041;-34.760038
LMC09;"Tipo: DOMO
Ubicacion: JUAN XXIII Y EUSKADI";DOMO;JUAN XXIII Y EUSKADI;PARQUE BARON;-58.438532;-34.768304
LMC14;"Tipo: DOMO
Ubicacion: CNO. NEGRO Y SIRITO";DOMO;CNO. NEGRO Y SIRITO;PARQUE BARON;-58.434412;-34.765994
LMC57;"Tipo: DOMO
Ubicacion: BUSTOS Y OLMOS";DOMO;BUSTOS Y OLMOS;PARQUE BARON;-58.447695;-34.760124
LMC58;"Tipo: DOMO
Ubicacion: PROV. NIDAS Y BUSTOS";DOMO;PROV. NIDAS Y BUSTOS;PARQUE BARON;-58.446794;-34.761464
LMC59;"Tipo: DOMO
Ubicacion: IPARRAGUIRRE E IDALGO";DOMO;IPARRAGUIRRE E IDALGO;PARQUE BARON;-58.444734;-34.766294
LMC60;"Tipo: DOMO
Ubicacion: VIRGILIO Y TROPEROS";DOMO;VIRGILIO Y TROPEROS;PARQUE BARON;-58.443918;-34.756634
LMC61;"Tipo: DOMO
Ubicacion: VIRGILIO Y CARCARAÑA";DOMO;VIRGILIO Y CARCARAÑA;PARQUE BARON;-58.436666;-34.765783
LMC62;"Tipo: DOMO
Ubicacion: MADRID Y FLEMING";DOMO;MADRID Y FLEMING;PARQUE BARON;-58.433082;-34.775636
LMC63;"Tipo: DOMO
Ubicacion: MADRID Y SANTA FILOMENA";DOMO;MADRID Y SANTA FILOMENA;PARQUE BARON;-58.434734;-34.77331
LMC65;"Tipo: DOMO
Ubicacion: OLIDEN Y MADRID";DOMO;OLIDEN Y MADRID;PARQUE BARON;-58.430572;-34.77872
LMC73;"Tipo: DOMO
Ubicacion: HIDALGO Y HOMERO";DOMO;HIDALGO Y HOMERO;PARQUE BARON;-58.440313;-34.764285
LMC81;"Tipo: DOMO
Ubicacion: FALUCHO Y POTOSI";DOMO;FALUCHO Y POTOSI;PARQUE BARON;-58.439627;-34.759631
LMC84;"Tipo: DOMO
Ubicacion: P. PERON Y CERVANTES";DOMO;P. PERON Y CERVANTES;PARQUE BARON;-58.433383;-34.756123
LMC88;"Tipo: DOMO
Ubicacion: ESTACION JUAN XXIII";DOMO;ESTACION JUAN XXIII;PARQUE BARON;-58.44394;-34.771084
LMC68;"Tipo: DOMO
Ubicacion: MOLINA ARROTEA Y SIRITO";DOMO;MOLINA ARROTEA Y SIRITO;PARQUE BARON;-58.433297;-34.76774
LMC105;"Tipo: DOMO
Ubicacion: SIRITO T MUZZILLI";DOMO;SIRITO T MUZZILLI;PARQUE BARON;-58.431462;-34.770375
LMC107;"Tipo: DOMO
Ubicacion: M. ARROTEA Y LOS ROBLES";DOMO;M. ARROTEA Y LOS ROBLES;PARQUE BARON;-58.430572;-34.766012
LMC116;"Tipo: DOMO
Ubicacion: M. ARROTEA Y SIRITO";DOMO;M. ARROTEA Y SIRITO;PARQUE BARON;-58.433248;-34.767669
LMC94;"Tipo: FIJA
Ubicacion: O ´HIGGINGS Y JUAN XXIII";FIJA;O ´HIGGINGS Y JUAN XXIII;PARQUE BARON;-58.443843;-34.77089
LMC91;"Tipo: FIJA
Ubicacion: PUENTE JUAN XXIII";FIJA;PUENTE JUAN XXIII;PARQUE BARON;-58.444013;-34.771273
LMC126;"Tipo: DOMO
Ubicacion: OSLO Y MELENDEZ VALDEZ";DOMO;OSLO Y MELENDEZ VALDEZ;PARQUE BARON;-58.436784;-34.768674
LMC131;"Tipo: DOMO
Ubicacion: CAMINO NEGRO Y LAPRIDA";DOMO;CAMINO NEGRO Y LAPRIDA;PARQUE BARON;-58.43305;-34.756167
LMC143;"Tipo: FIJA
Ubicacion: COLOMBRES Y PERON";FIJA;COLOMBRES Y PERON;PARQUE BARON;-58.431089;-34.760017
LMC147;"Tipo: DOMO
Ubicacion: Entrada Reserva GARIBALDI Y VIAS";DOMO;Entrada Reserva GARIBALDI Y VIAS;PARQUE BARON;-58.431312;-34.784258
LMC149;"Tipo: FIJA
Ubicacion: AROMOS Y MERLO";FIJA;AROMOS Y MERLO;PARQUE BARON;-58.438067;-34.777184
LMC150;"Tipo: FIJA
Ubicacion: SIRITTO Y MERLO";FIJA;SIRITTO Y MERLO;PARQUE BARON;-58.429559;-34.772711
LMC151;"Tipo: FIJA
Ubicacion: PERON Y LOS ROBLES";FIJA;PERON Y LOS ROBLES;PARQUE BARON;-58.432396;-34.76397
LMC117;"Tipo: DOMO
Ubicacion: PUENTE JUAN XXIII";DOMO;PUENTE JUAN XXIII;PARQUE BARON;-58.444051;-34.771253
LMC144;"Tipo: FIJA
Ubicacion: OLIDEN Y MADRID";FIJA;OLIDEN Y MADRID;PARQUE BARON;-58.430586;-34.778807
LMC66;"Tipo: FIJA
Ubicacion: MADRID Y GARIBALDI";FIJA;MADRID Y GARIBALDI;PARQUE BARON;-58.427658;-34.782701
LMC67;"Tipo: FIJA
Ubicacion: MADRID Y GARIBALDI";FIJA;MADRID Y GARIBALDI;PARQUE BARON;-58.42753;-34.782944
LMC57a;"Tipo: FIJA
Ubicacion: BUSTOS 860 SEC31";FIJA;BUSTOS 860 SEC31;PARQUE BARON;-58.447629;-34.760193
LMC88b;"Tipo: FIJA
Ubicacion: ESTACION JUAN XXIII";FIJA;ESTACION JUAN XXIII;PARQUE BARON;-58.443856;-34.771073
LMC149b;"Tipo: FIJA
Ubicacion: AROMOS Y MERLO";FIJA;AROMOS Y MERLO;PARQUE BARON;-58.438102;-34.777192
LMC151b;"Tipo: FIJA
Ubicacion: PERON Y LOS ROBLES";FIJA;PERON Y LOS ROBLES;PARQUE BARON;-58.432451;-34.763981
LMC167;;;OSLO Y SANTA ISABEL;PARQUE BARON;-58.4351437;-34.7707738
LMC175;;;Guaraní & Euskadi;PARQUE BARON;-58.4396318;-34.7666661
BUD11;"Tipo: DOMO
Ubicacion: QUIROGA Y GIACHINO";DOMO;QUIROGA Y GIACHINO;SANTA CATALINA;-58.472195;-34.74779
BUD19;"Tipo: DOMO
Ubicacion: RIVERA DEL SUR  ELIZALDE";DOMO;RIVERA DEL SUR  ELIZALDE;SANTA CATALINA;-58.492184;-34.734929
BUD21;"Tipo: DOMO
Ubicacion: MANUELA PEDRAZA Y LEÑA";DOMO;MANUELA PEDRAZA Y LEÑA;SANTA CATALINA;-58.474603;-34.738465
BUD25;"Tipo: DOMO
Ubicacion: OLIMPO Y CORSINI";DOMO;OLIMPO Y CORSINI;SANTA CATALINA;-58.476786;-34.734215
BUD27;"Tipo: DOMO
Ubicacion: OLIMPO Y GIACHINO";DOMO;OLIMPO Y GIACHINO;SANTA CATALINA;-58.480777;-34.735903
BUD10;"Tipo: FIJA
Ubicacion: GIACHINO Y QUIROGA";FIJA;GIACHINO Y QUIROGA;SANTA CATALINA;-58.472042;-34.747808
BUD23;"Tipo: FIJA
Ubicacion: OLIMPO Y GUEMES";FIJA;OLIMPO Y GUEMES;SANTA CATALINA;-58.479216;-34.735159
BUD38;"Tipo: DOMO
Ubicacion: OLIMPO Y  CALLE 4";DOMO;OLIMPO Y  CALLE 4;SANTA CATALINA;-58.483658;-34.737116
BUD44;"Tipo: DOMO
Ubicacion: MANUELA PEDRAZA SOLDADO BRITO";DOMO;MANUELA PEDRAZA SOLDADO BRITO;SANTA CATALINA;-58.471612;-34.742634
BUD45;"Tipo: DOMO
Ubicacion: ZELARRAYAN Y PADRE MUJICA";DOMO;ZELARRAYAN Y PADRE MUJICA;SANTA CATALINA;-58.4677934;-34.7420669
BUD46;"Tipo: DOMO
Ubicacion: BARRIO SAN SEBASTIAN";DOMO;BARRIO SAN SEBASTIAN;SANTA CATALINA;-58.460092;-34.752918
BUD47;"Tipo: DOMO
Ubicacion: CAMPO PONS";DOMO;CAMPO PONS;SANTA CATALINA;-58.487469;-34.730738
BUD48;"Tipo: FIJA
Ubicacion: OLIMPO Y ELIZALDE";FIJA;OLIMPO Y ELIZALDE;SANTA CATALINA;-58.488638;-34.739196
BUD50;"Tipo: FIJA
Ubicacion: MASSAD Y GIACHINO";FIJA;MASSAD Y GIACHINO;SANTA CATALINA;-58.479845;-34.737
BUD56;"Tipo: FIJA
Ubicacion: GIACHINO Y RODRIGUEZ";FIJA;GIACHINO Y RODRIGUEZ;SANTA CATALINA;-58.475668;-34.743165
