Agrupamiento,Imputación,Importe,fecha,DIPONIBILIDAD DE FONDOS,ORIGEN FONDOS
1.2.1.01.01,TASA SERVICIOS GENERALES MUNICIPALES - EJERCICIO-,25033877.42,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.1.9.05.02,IMPUESTO AUTOMOTOR LEY 13.010 - ANTERIORES-,5660228.92,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.1.01.02,TASA SERVICIOS GENERALES MUNICIPALES -ANTERIORES-,3792746.72,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.1.05.02,INSPECCIÓN DE SEGURIDAD E HIGIENE -ANTERIORES-,2658822.31,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.6.01.02,MULTAS POR CONTRAVENCIONES EJERCICIOS ANTERIORES,1384945,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.6.02.02,INFRACCION A LAS OBLIGACIONES EJERCICIO ANTERIORES,1329715.84,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.6.02.01,INFRACCION A LAS OBLIGACIONES EJERCICIO,699490.59,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.14.01,DERECHOS DE OFICINA DEL EJERCICIO,575600,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.14.04,ALTAS Y/O BAJAS IMPOSIT.DE AUTOMOTORES,319160,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.6.08.02,MULTAS POR CONTRAVENCIONES (EJERC.ANTERIORES,256650,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.1.9.08.01,PATENTE DE MOTOVEHICULOS DEL EJERCICIO,168066.5,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.14.05,ALTAS Y/O BAJAS IMPOSIT.DE MOTOVEHICULOS,144000,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.05.02,OCUPACION Y USO DE ESPACIOS PUBLICOS DE EJERCICOS ANTERIORES,115747.99,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.08.02,CEMENTERIO EJERCICIOS ANTERIORES,101280,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.03.02,PUBLICIDAD Y PROPAGANDA -ANTERIORES-,77246.81,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.14.02,DERECHOS DE OFICINA EJERCICIOS ANTERIORES,62622,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
1.2.2.08.01,CEMENTERIO EJERCICIO,55000,2026-01-02 00:00:00,Libre Disponibilidad,Municipales
