Fecha,Coparticipación Bruta
03/01/2025,"$431,697,186.00"
06/01/2025,"$141,435,680.00"
07/01/2025,"$134,713,095.00"
08/01/2025,"$258,090,129.00"
09/01/2025,"$157,135,911.00"
10/01/2025,"$298,167,129.00"
13/01/2025,"$836,315,911.00"
14/01/2025,"$1,265,651,782.00"
15/01/2025,"$547,722,458.00"
16/01/2025,"$205,903,617.00"
17/01/2025,"$260,178,444.00"
20/01/2025,"$344,054,370.00"
21/01/2025,"$553,965,862.00"
22/01/2025,"$825,544,737.00"
23/01/2025,"$751,899,236.00"
24/01/2025,"$571,250,416.00"
27/01/2025,"$483,256,704.00"
28/01/2025,"$517,559,539.00"
29/01/2025,"$217,646,185.00"
30/01/2025,"$199,136,747.00"
31/01/2025,"$128,554,144.00"
03/02/2025,"$76,372,623.00"
04/02/2025,"$76,800,073.00"
05/02/2025,"$111,888,783.00"
06/02/2025,"$155,084,880.00"
07/02/2025,"$220,633,764.00"
10/02/2025,"$143,146,746.00"
11/02/2025,"$380,783,405.00"
12/02/2025,"$1,665,958,294.00"
13/02/2025,"$464,025,398.00"
14/02/2025,"$405,814,849.00"
17/02/2025,"$207,104,753.00"
18/02/2025,"$233,237,288.00"
19/02/2025,"$382,258,082.00"
20/02/2025,"$570,936,325.00"
21/02/2025,"$1,006,651,614.00"
24/02/2025,"$660,210,921.00"
25/02/2025,"$506,511,830.00"
26/02/2025,"$611,410,236.00"
27/02/2025,"$270,489,521.00"
28/02/2025,"$191,779,285.00"
05/03/2025,"$174,565,970.00"
06/03/2025,"$258,167,523.00"
07/03/2025,"$155,855,424.00"
10/03/2025,"$263,283,150.00"
11/03/2025,"$449,975,535.00"
12/03/2025,"$1,495,876,656.00"
13/03/2025,"$434,331,761.00"
14/03/2025,"$637,308,616.00"
17/03/2025,"$303,046,244.00"
18/03/2025,"$256,618,534.00"
19/03/2025,"$380,049,241.00"
20/03/2025,"$524,586,117.00"
21/03/2025,"$778,953,036.00"
25/03/2025,"$589,242,896.00"
26/03/2025,"$629,099,372.00"
27/03/2025,"$571,651,106.00"
28/03/2025,"$312,293,229.00"
