Nro,Descripción, Presupuestado , Gastado , Saldo , % Gast/Presu 
1,SECRETARÍA DE ECONOMIA Y FINANZAS," $ 17,481,400,766.42 "," $ 12,583,229,519.54 "," $ 4,898,171,246.88 ",72.0%
2,PARTIDAS NO ASIGNABLES A PROGRAMAS," $ 27,271,775,562.04 "," $ 25,040,338,512.99 "," $ 2,231,437,049.05 ",91.8%
3,SECRETARIA DE SEGURIDAD Y JUSTICIA," $ 37,666,776,463.44 "," $ 35,333,331,349.02 "," $ 2,333,445,114.42 ",93.8%
4,SECRETARIA DE GOBIERNO," $ 36,865,408,780.54 "," $ 22,253,559,391.68 "," $ 14,611,849,388.86 ",60.4%
5,SECRETARIA DE SALUD," $ 67,493,625,310.16 "," $ 58,449,204,226.11 "," $ 9,044,421,084.05 ",86.6%
6,SECRETARIA DE DESARROLLO SOCIAL," $ 17,263,686,307.48 "," $ 14,382,508,951.10 "," $ 2,881,177,356.38 ",83.3%
7,SECRETARIA DE AMBIENTE," $ 69,765,936,520.81 "," $ 71,810,618,251.57 "," $ (2,044,681,730.76)",102.9%
8,SECRETARIA PRIVADA," $ 605,676,475.29 "," $ 605,676,475.29 ", $ -   ,100.0%
9,SECRETARIA DE INFRAESTRUCTURA Y PLANIFICACION," $ 64,620,475,918.79 "," $ 48,313,445,645.78 "," $ 16,307,030,273.01 ",74.8%
10,JEFATURA DE GABINETE," $ 19,669,628,208.99 "," $ 18,441,750,589.05 "," $ 1,227,877,619.94 ",93.8%
11,"SECRETARIA DE MUJERES, GENEROS Y DIVERSIDAD"," $ 2,457,128,369.40 "," $ 1,636,935,461.39 "," $ 820,192,908.01 ",66.6%
12,SECRETARIA DE HABITAT E INTEGRACION COMUNITARIA," $ 451,823,956.26 "," $ 451,823,956.26 ", $ -   ,100.0%
13,SECRETARIA DE DEPORTES," $ 698,976,311.46 "," $ 698,976,311.46 ", $ -   ,100.0%
14,SECRETARIA GENERAL," $ 25,720,363,526.59 "," $ 17,300,487,235.95 "," $ 8,419,876,290.64 ",67.3%
15,SECRETARIA DE SERVICIOS PUBLICOS," $ 10,734,164,973.20 "," $ 10,734,164,973.20 ", $ -   ,100.0%
16,SECRETARIA DE RELACIONES CON LA COMUNIDAD," $ 7,227,830,806.01 "," $ 5,191,246,262.91 "," $ 2,036,584,543.10 ",71.8%
17,"SECRETARIA DE EDUCACION, PRODUCCION Y TRABAJO"," $ 13,528,185,436.08 "," $ 5,015,253,035.90 "," $ 8,512,932,400.18 ",37.1%
18,HONORABLE CONCEJO DELIBERANTE," $ 7,596,128,254.93 "," $ 4,497,159,487.84 "," $ 3,098,968,767.09 ",59.2%
