ASIGNACION,Camiones Asignados,Camiones Trabajando,Camiones Sin Salida,Camiones en Taller,Fecha
Banfield,6,5,1,0,01/01/2026
Higiene Urbana,10,6,0,4,01/01/2026
Ingeniero Budge,5,3,0,2,01/01/2026
Llavallol,7,6,1,0,01/01/2026
Lomas,7,5,1,1,01/01/2026
Parque Baron,4,3,0,1,01/01/2026
San jose,8,6,1,1,01/01/2026
Santa Catalina,10,5,0,5,01/01/2026
Santa Marta,3,2,1,0,01/01/2026
Secretaria Serv. Publicos,10,7,1,2,01/01/2026
Subse Servicios Urbanos,9,4,2,3,01/01/2026
Temperley,7,4,2,1,01/01/2026
Turdera,2,1,0,1,01/01/2026
Villa Albertina,7,2,3,2,01/01/2026
Villa Centenario,3,3,0,0,01/01/2026
Villa Fiorito,6,4,0,2,01/01/2026
Villa Lamadrid,3,3,0,0,01/01/2026
Banfield,6,6,0,0,04/01/2026
Higiene Urbana,10,6,0,4,04/01/2026
Ingeniero Budge,5,3,1,1,04/01/2026
Llavallol,7,4,3,0,04/01/2026
Lomas,7,6,1,0,04/01/2026
Parque Baron,4,3,0,1,04/01/2026
San jose,8,6,1,1,04/01/2026
Santa Catalina,10,5,0,5,04/01/2026
Santa Marta,3,3,0,0,04/01/2026
Secretaria Serv. Publicos,10,7,2,1,04/01/2026
Subse Servicios Urbanos,9,5,1,3,04/01/2026
Temperley,7,2,4,1,04/01/2026
Turdera,2,1,0,1,04/01/2026
Villa Albertina,7,2,3,2,04/01/2026
Villa Centenario,3,2,1,0,04/01/2026
Villa Fiorito,6,2,2,2,04/01/2026
Villa Lamadrid,3,2,1,0,04/01/2026
Banfield,6,6,0,0,05/01/2026
Higiene Urbana,10,6,0,4,05/01/2026
Ingeniero Budge,5,3,1,1,05/01/2026
Llavallol,7,4,3,0,05/01/2026
Lomas,7,7,0,0,05/01/2026
Parque Baron,4,3,0,1,05/01/2026
San jose,8,6,1,1,05/01/2026
Santa Catalina,10,5,1,4,05/01/2026
Santa Marta,3,3,0,0,05/01/2026
Secretaria Serv. Publicos,10,7,1,2,05/01/2026
Subse Servicios Urbanos,9,5,1,3,05/01/2026
Temperley,7,4,2,1,05/01/2026
Turdera,2,1,0,1,05/01/2026
Villa Albertina,7,2,3,2,05/01/2026
Villa Centenario,3,3,0,0,05/01/2026
Villa Fiorito,6,2,2,2,05/01/2026
Villa Lamadrid,3,2,1,0,05/01/2026
Banfield,6,6,0,0,06/01/2026
Higiene Urbana,10,6,1,3,06/01/2026
