ASIGNACION,Camiones Asignados,Camiones Trabajando,Camiones Sin Salida,Camiones en Taller,Fecha
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-07-18
SS REDES Y SERV. CONCESIONADOS,10,3,4,3,2025-07-18
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-07-21
SS REDES Y SERV. CONCESIONADOS,10,3,5,2,2025-07-21
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-07-22
SS REDES Y SERV. CONCESIONADOS,10,3,5,2,2025-07-22
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-07-23
SS REDES Y SERV. CONCESIONADOS,10,4,5,1,2025-07-23
SS PLANIFICACIÓN HÍDRICA,8,2,1,5,2025-07-24
SS REDES Y SERV. CONCESIONADOS,10,2,6,2,2025-07-24
SS PLANIFICACIÓN HÍDRICA,8,1,2,5,2025-07-25
SS REDES Y SERV. CONCESIONADOS,10,2,5,3,2025-07-25
SS PLANIFICACIÓN HÍDRICA,8,1,2,5,2025-07-28
SS REDES Y SERV. CONCESIONADOS,10,3,5,2,2025-07-28
SS PLANIFICACIÓN HÍDRICA,8,3,1,4,2025-07-29
SS REDES Y SERV. CONCESIONADOS,10,3,6,1,2025-07-29
SS PLANIFICACIÓN HÍDRICA,8,3,1,4,2025-07-30
SS REDES Y SERV. CONCESIONADOS,10,4,4,2,2025-07-30
SS PLANIFICACIÓN HÍDRICA,8,2,1,5,2025-07-31
SS REDES Y SERV. CONCESIONADOS,10,3,5,2,2025-07-31
SS PLANIFICACIÓN HÍDRICA,8,0,3,5,2025-08-01
SS REDES Y SERV. CONCESIONADOS,10,3,5,2,2025-08-01
SS PLANIFICACIÓN HÍDRICA,8,4,0,4,2025-08-04
SS REDES Y SERV. CONCESIONADOS,10,3,4,3,2025-08-04
SS PLANIFICACIÓN HÍDRICA,8,3,1,4,2025-08-05
SS REDES Y SERV. CONCESIONADOS,10,2,4,4,2025-08-05
SS PLANIFICACIÓN HÍDRICA,8,4,0,4,2025-08-06
SS REDES Y SERV. CONCESIONADOS,10,2,5,3,2025-08-06
SS PLANIFICACIÓN HÍDRICA,8,4,0,4,2025-08-07
SS REDES Y SERV. CONCESIONADOS,10,2,3,5,2025-08-07
SS PLANIFICACIÓN HÍDRICA,8,4,0,4,2025-08-08
SS REDES Y SERV. CONCESIONADOS,10,2,3,5,2025-08-08
SS PLANIFICACIÓN HÍDRICA,8,3,1,4,2025-08-11
SS REDES Y SERV. CONCESIONADOS,10,2,3,5,2025-08-11
SS PLANIFICACIÓN HÍDRICA,8,2,1,5,2025-08-12
SS REDES Y SERV. CONCESIONADOS,10,2,3,5,2025-08-12
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-08-13
SS REDES Y SERV. CONCESIONADOS,10,2,3,5,2025-08-13
SS PLANIFICACIÓN HÍDRICA,8,2,1,5,2025-08-14
SS REDES Y SERV. CONCESIONADOS,10,2,3,5,2025-08-14
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-08-18
SS REDES Y SERV. CONCESIONADOS,10,4,2,4,2025-08-18
SS PLANIFICACIÓN HÍDRICA,8,0,3,5,2025-08-19
SS REDES Y SERV. CONCESIONADOS,10,1,6,3,2025-08-19
SS PLANIFICACIÓN HÍDRICA,8,1,2,5,2025-08-20
SS REDES Y SERV. CONCESIONADOS,10,4,2,4,2025-08-20
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-08-21
SS REDES Y SERV. CONCESIONADOS,10,6,1,3,2025-08-21
SS PLANIFICACIÓN HÍDRICA,8,3,1,4,2025-08-22
SS REDES Y SERV. CONCESIONADOS,10,6,0,4,2025-08-22
SS PLANIFICACIÓN HÍDRICA,8,3,0,5,2025-08-25
SS REDES Y SERV. CONCESIONADOS,10,3,0,7,2025-08-25
SS PLANIFICACIÓN HÍDRICA,8,4,0,4,2025-08-26
SS REDES Y SERV. CONCESIONADOS,10,5,0,5,2025-08-26
SS PLANIFICACIÓN HÍDRICA,8,4,1,3,2025-08-27
SS REDES Y SERV. CONCESIONADOS,10,5,1,4,2025-08-27
SS PLANIFICACIÓN HÍDRICA,8,3,2,3,2025-08-28
SS REDES Y SERV. CONCESIONADOS,10,6,0,4,2025-08-28
SS PLANIFICACIÓN HÍDRICA,8,4,1,3,2025-08-29
SS REDES Y SERV. CONCESIONADOS,10,6,0,4,2025-08-29
SS PLANIFICACIÓN HÍDRICA,8,2,2,4,2025-09-01
SS REDES Y SERV. CONCESIONADOS,11,4,3,4,2025-09-01
